cameraid,name,url,latitude,longitude,last_width,last_height,mhash
19,VT,http://www.hazecam.net/images/main/burlington_right.jpg,44.478739,-73.19164,500,250,1
64,Anthem school,http://wwc.instacam.com/instacamimg/PHNAS/PHNAS_l.jpg,33.2765,-112.1872,1280,720,2
73,College of the Canyons,http://wwc.instacam.com/instacamimg/CLLCN/CLLCN_l.jpg,34.4044820734,-118.5690559399,1280,1024,4
75,Borrego Springs HS,http://wwc.instacam.com/instacamimg/BORYO/BORYO_l.jpg,33.2648176,-116.3834183,1280,720,5
108,KOAA News First Cams,http://wwc.instacam.com/instacamimg/KOAAT/KOAAT_l.jpg,38.2886723,-104.6237902,1280,720,8
120,Dolphins Stadium,http://wwc.instacam.com/instacamimg/PROPL/PROPL_l.jpg,25.9484,-80.2479,1280,720,10
124,Cypress Bay HS,http://wwc.instacam.com/instacamimg/WSTNN/WSTNN_l.jpg,26.0596,-80.4146,1280,720,11
161,WeatherBug Cam: Northern Illinois University,http://wwc.instacam.com/instacamimg/DLKLB/DLKLB_l.jpg,41.935416,-88.7710424,1280,720,13
165,Beecher ES,http://wwc.instacam.com/instacamimg/BCHRS/BCHRS_l.jpg,41.34059,-87.6214286,640,480,15
180,WSIL TV 3,http://wwc.instacam.com/instacamimg/WSILT/WSILT_l.jpg,37.7465856028,-89.0526298822,1280,720,16
198,Western Intermediate School,http://wwc.instacam.com/instacamimg/RSSVL/RSSVL_l.jpg,40.4367861957,-86.2436611149,640,480,17
203,Tri-County M - SHS,http://wwc.instacam.com/instacamimg/WLCTT/WLCTT_l.jpg,40.7265,-86.9894,1280,720,18
204,Indiana - Notre Dame Dome And Basilica,http://www.nd.edu/~webcam/domecam.jpg,41.702494694,-86.2378195222,1280,720,19
205,Fort Scott MS,http://wwc.instacam.com/instacamimg/FRTSC/FRTSC_l.jpg,37.8216,-94.7147,640,480,20
207,WeatherBug Cam: Pittsburg Middle School,http://wwc.instacam.com/instacamimg/PTSBG/PTSBG_l.jpg,37.4194954,-94.7048337,640,480,21
210,WeatherBug Cam: Parsons High School,http://wwc.instacam.com/instacamimg/PARNS/PARNS_l.jpg,37.3321388,-95.2816702,640,480,22
251,WeatherBug Headquarters,http://wwc.instacam.com/instacamimg/AWSHQ/AWSHQ_l.jpg,39.2009241,-77.2630048,1280,720,23
257,St. Marys ES,http://wwc.instacam.com/instacamimg/ANNAS/ANNAS_l.jpg,38.9673,-76.6101,1280,720,24
259,Northern HS,http://wwc.instacam.com/instacamimg/ACDNT/ACDNT_l.jpg,39.5894,-79.2309,1280,720,25
