cameraid,name,url,
1,St. Louis Market Street Webcam From KSDK,http://www.ksdk.com/images/weather/610/412/2/webcam/camera3.jpg,
2,Pebble Beach golf course 1st tee,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://www.pebblebeach.com/webcam/1sttee.jpg,
4,Washington University Brookings Quadrangle,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://128.252.39.99/axis-cgi/jpg/image.cgi,
5,Lodge at Pebble Beach Golf Course,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://www.pebblebeach.com/webcam/lodge.jpg,
6,Pebble Beach Golf Course-18th hole,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://www.pebblebeach.com/webcam/18hole.jpg,
7,LONDON,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://images.earthcam.com/ec_metros/ourcams/ltm.jpg,
8,LONDON,http://images.earthcam.com/ec_metros/ourcams/big_ben.jpg,
9,LONDON,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://images.earthcam.com/ec_metros/ourcams/trafalgarsq.jpg  ,
10,LONDON,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://images.earthcam.com/ec_metros/ourcams/countyhall.jpg,
11,NYC,http://images.earthcam.com/ec_metros/ourcams/columbus.jpg,
12,NYC,http://images.earthcam.com/ec_metros/ourcams/millenium/gzrobotic.jpg  ,
13,NYC,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://images.earthcam.com/ec_metros/ourcams/gz02.jpg,
14,NYC,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://images.earthcam.com/archives/gzmp/gzmp.jpg,
15,NYC,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://images.earthcam.com/ec_metros/ourcams/liberty.jpg,
16,NYC,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://images.earthcam.com/ec_metros/ourcams/midtown.jpg,
17,NYC,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://65.200.140.25/ec_metros/ourcams/intrepid.jpg,
18,VT,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://www.sover.net/%7Epmrc/webcams/weather.jpg,
19,VT,http://www.hazecam.net/images/main/burlington_right.jpg,
20,Vegas,http://images.earthcam.com/ec_metros/nevada/lasvegas/paris.jpg,
21,Vegas,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://images.earthcam.com/ec_metros/ourcams/mgm.jpg,
22,Dallas,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://65.200.140.25/ec_metros/ourcams/dmnh.jpg,
23,Dallas,http://images.earthcam.com/ec_metros/texas/dallas/dealey.jpg,
24,Houston,http://images.earthcam.com/ec_metros/texas/houston/hmns.jpg,
25,Russia,http://www.livecam.ru/pics/fullsize.jpg,
26,Russia,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://webcam.mdmbank.com/webcam/images/fullsize.jpg,
27,Russia,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://www02.wdr.de/webcam/moscam.jpg,
28,St. Louis,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://www.kmov.com/images/east.jpg,
29,St. Louis,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://168.166.124.7/cgi-bin/bmp2jpg.exe?bmpfile=..mp64@20thSWQ.bmp,
30,MidWest Hazecam,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://www.mwhazecam.net/images/photos-main/STLOUIS.JPG,
31,St. Louis,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://165.134.236.34/-wvhttp-01-/GetStillImage?p=-15&amp,
32,St. Louis,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://165.134.236.34/-wvhttp-01-/GetStillImage?p=20&amp,
33,St. Louis,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://165.134.236.34/-wvhttp-01-/GetStillImage?p=-15&amp,
34,St. Louis,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://165.134.236.34/-wvhttp-01-/GetStillImage?p=50&amp,
35,St. Louis,INTENTIONALLYBROKEN_NORECENTCAPTURE_ORDUPCAMERAhttp://168.166.124.7/cgi-bin/bmp2jpg.exe?bmpfile=..mp44@55NWQ.bmp,
