,cameraid,old_cameraid,name,url,latitude,longitude,last_width,last_height,mhash
0,1,000019,VT,http://www.hazecam.net/images/main/burlington_right.jpg,44.478739000000004,-73.19164,500,250,1
1,2,000064,Anthem school,http://wwc.instacam.com/instacamimg/PHNAS/PHNAS_l.jpg,33.2765,-112.1872,1280,720,2
2,4,000073,College of the Canyons,http://wwc.instacam.com/instacamimg/CLLCN/CLLCN_l.jpg,34.4044820734014,-118.569055939865,1280,1024,4
3,5,000075,Borrego Springs HS,http://wwc.instacam.com/instacamimg/BORYO/BORYO_l.jpg,33.2648176,-116.3834183,1280,720,5
4,8,000108,KOAA News First Cams,http://wwc.instacam.com/instacamimg/KOAAT/KOAAT_l.jpg,38.2886723,-104.6237902,1280,720,8
5,10,000120,Dolphins Stadium,http://wwc.instacam.com/instacamimg/PROPL/PROPL_l.jpg,25.9484,-80.2479,1280,720,10
6,11,000124,Cypress Bay HS,http://wwc.instacam.com/instacamimg/WSTNN/WSTNN_l.jpg,26.0596,-80.4146,1280,720,11
7,13,000161,WeatherBug Cam: Northern Illinois University,http://wwc.instacam.com/instacamimg/DLKLB/DLKLB_l.jpg,41.935416,-88.77104240000001,1280,720,13
8,15,000165,Beecher ES,http://wwc.instacam.com/instacamimg/BCHRS/BCHRS_l.jpg,41.34059,-87.6214286,640,480,15
9,16,000180,WSIL TV 3,http://wwc.instacam.com/instacamimg/WSILT/WSILT_l.jpg,37.7465856027811,-89.05262988220899,1280,720,16
10,17,000198,Western Intermediate School,http://wwc.instacam.com/instacamimg/RSSVL/RSSVL_l.jpg,40.436786195693,-86.24366111488341,640,480,17
11,18,000203,Tri-County M - SHS,http://wwc.instacam.com/instacamimg/WLCTT/WLCTT_l.jpg,40.7265,-86.9894,1280,720,18
12,19,000204,Indiana - Notre Dame Dome And Basilica,http://www.nd.edu/~webcam/domecam.jpg,41.7024946940213,-86.2378195221901,1280,720,19
13,20,000205,Fort Scott MS,http://wwc.instacam.com/instacamimg/FRTSC/FRTSC_l.jpg,37.8216,-94.7147,640,480,20
14,21,000207,WeatherBug Cam: Pittsburg Middle School,http://wwc.instacam.com/instacamimg/PTSBG/PTSBG_l.jpg,37.419495399999995,-94.70483370000001,640,480,21
