37,Baltimore Maryland,http://www.hazecam.net/images/main/baltimore_right.jpg?,39.2903848,-76.6121893,3020,500,250,1,0,
40,Frostburg Maryland,http://www.hazecam.net/images/main/frostburg.jpg?,0.0,0.0,3023,500,300,1,0,
41,Seney Wildlife Refuge MI,http://www.mwhazecam.net/images/photos-main/seney.jpg?,46.289544,-85.947588,3024,640,480,1,0,
53,Carlisle Volcano Alaska Volcano Observatory: Cleveland Cam,http://www.cfht.hawaii.edu/webcams/gemdome/gemdome.jpg,52.9,-170.1,3036,704,494,1,0,
54,Craters of the Moon Tom Cat Summit Highway Cam 1,http://birice.vaisala.com/photos/02F75DC9_061CC258_cam1.jpg,43.4,-113.5,3037,640,480,1,0,
55,augustine-webcam Homer,http://www.avo.alaska.edu/webcam/augustine.jpg,59.651092,-151.534424,3038,1280,960,1,0,
56,Mount Hood KGW-TV Timberline SkyCam,http://w3.gorge.net/niknas/webcam.jpg,45.4,-121.7,3039,1280,720,1,0,
59,Mount Spurr Alaska Volcano Observatory: Mount Spurr CKT Cam,http://www.avo.alaska.edu/webcam/a-spurr.jpg,61.3,-152.3,3042,512,384,1,0,
60,shishaldin-webcam Avo,http://www.avo.alaska.edu/webcam/shishaldin.jpg,54.709152,-163.703842,3043,1024,768,1,0,
64,Hamilton KTVQ,http://montint.cordillera.tv/Missoula/Cameras/Hamilton.jpg,46.248353,-114.159722,3047,640,480,1,0,
66,Swakopmund Beach Webcam updates every 5 minutes - View SouthWest,http://weather.namsearch.com/swkmolecam.jpg,-23.08,14.81,3049,1280,720,1,0,
68,Hakusembe River Lodge Webcam automatically updates every 5 minutes - View North-West over Okavango river,http://weather.namsearch.com/hakusembe/Hakusembe.jpg,-17.859,19.677,3051,1920,1080,1,0,
71,Grands Montets Logan webcam Argentiere (Chamonix),http://www.compagniedumontblanc.fr/webcam/Grandsmontets.jpg,0.0,0.0,3054,640,480,1,0,
72,Mer de Glace webcam Chamonix,http://www.compagniedumontblanc.fr/webcam/CMM1MERDEGLACE.jpg,34.0,-95.0,3055,1280,480,1,0,
73,Place Balmat webcam Chamonix (centre),http://static1.chamonet.com/image_uploader/webcam/large/chamonix-town-centre.jpg,0.0,0.0,3056,2592,1443,1,0,
76,Most recent conditions in Badger,http://www.env.gov.nl.ca/wrmd/ADRS/v6/webcam/Badger_Webcam.jpg,0.0,0.0,3059,640,504,1,0,
78,Brookfield,http://170.222.32.148/rwisimages/Image-707007-707007-0-1.jpg,44.023611,-72.6,3061,704,480,1,0,
79,Burlington Skyline,http://tv3.wcax.com/n/wcaxsnap.jpg,44.47698741,-73.21252584,3062,420,240,1,0,
81,Dublin Cam,http://s3.amazonaws.com/almanac/webcam/image.jpg,42.90463946,-72.0907402,3064,738,554,1,0,
82,Ely,http://images.webcams.travel/webcam/1268871050.jpg,47.903237,-91.867087,3065,400,224,1,0,
84,Foxboro,http://wwc.instacam.com/instacamimg/FXBRG/FXBRG_l.jpg?rnd=15-112020112002,42.065381,-71.247825,3067,1280,720,1,0,
85,Franconia,http://www.koolkinetics.com/franconia/images/ispy1.jpg,44.2270075,-71.7478646,3068,1280,720,1,0,
86,Glenwood,http://www.gnb.ca/0113/cameras/cam-images/RNBGW.jpg,46.981782,-65.370811,3069,320,240,1,0,
88,Lake Winnipesaukee Cam - Bear Cam 3,http://www.bearcam1.com/bearcam3.jpg,43.64737973,-71.40795708,3071,704,480,1,0,
90,Liberty Mountain,http://www.libertymountainresort.com/cams/TLC1.jpg,39.73042573,-77.44400024,3073,640,480,1,0,
91,McCauley summit,http://www.oldforge.net/mcwebcamtop.jpg,43.69145966,-74.96134758,3074,640,480,1,0,
93,NMU,http://www.acs.nmu.edu/campics/academic.jpg,46.543544,-87.395417,3076,640,480,1,0,
98,St Donat,http://www.pierreforget.com/video01.jpg,46.319515,-74.220387,3081,640,480,1,0,
102,Westford Weather,http://www.westfordweather.net/cam/webcam.jpg,44.61002348,-73.00827026,3085,1600,1200,1,0,
